year_season;strata;sex;age;obs;unobs;est;ci_lower;ci_upper;method;degenerate_share;n_boot_used
2019/2020;total;total;total;1634;2667;4301;3979;4871;chao;0.0;997.0
2019/2020;total;total;total;1634;1741;3375;3031;3846;loglin_nonsaturated;;
2019/2020;total;total;total;1634;5249;6883;4910;9946;loglin_saturated;;
2019/2020;total;total;total;1634;2695;4329;3979;4940;zelterman;0.0;997.0
2019/2020;Женщины;Женщины;total;228;368;596;477;954;chao;0.0;997.0
2019/2020;Женщины;Женщины;total;228;247;475;408;565;loglin_nonsaturated;;
2019/2020;Женщины;Женщины;total;228;744;972;689;1446;loglin_saturated;;
2019/2020;Женщины;Женщины;total;228;374;602;476;979;zelterman;0.0;997.0
2019/2020;Женщины, 18‒34;Женщины;18‒34;46;114;160;95;487;chao;0.0;997.0
2019/2020;Женщины, 18‒34;Женщины;18‒34;46;45;91;66;121;loglin_nonsaturated;;
2019/2020;Женщины, 18‒34;Женщины;18‒34;46;136;182;117;282;loglin_saturated;;
2019/2020;Женщины, 18‒34;Женщины;18‒34;46;120;166;95;506;zelterman;0.0;997.0
2019/2020;Женщины, 35‒49;Женщины;35‒49;86;117;203;144;322;chao;0.0;1000.0
2019/2020;Женщины, 35‒49;Женщины;35‒49;86;87;173;135;218;loglin_nonsaturated;;
2019/2020;Женщины, 35‒49;Женщины;35‒49;86;261;347;234;531;loglin_saturated;;
2019/2020;Женщины, 35‒49;Женщины;35‒49;86;116;202;139;327;zelterman;0.0;1000.0
2019/2020;Женщины, 50‒79;Женщины;50‒79;96;136;232;174;363;chao;0.0;1000.0
2019/2020;Женщины, 50‒79;Женщины;50‒79;96;115;211;166;263;loglin_nonsaturated;;
2019/2020;Женщины, 50‒79;Женщины;50‒79;96;347;443;299;678;loglin_saturated;;
2019/2020;Женщины, 50‒79;Женщины;50‒79;96;138;234;171;374;zelterman;0.0;1000.0
2019/2020;Мужчины;Мужчины;total;1406;2299;3705;3400;4146;chao;0.0;1000.0
2019/2020;Мужчины;Мужчины;total;1406;1495;2901;2599;3300;loglin_nonsaturated;;
2019/2020;Мужчины;Мужчины;total;1406;4506;5912;4206;8563;loglin_saturated;;
2019/2020;Мужчины;Мужчины;total;1406;2320;3726;3407;4186;zelterman;0.0;1000.0
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;325;444;769;647;950;chao;0.0;1000.0
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;325;319;644;552;746;loglin_nonsaturated;;
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;325;961;1286;916;1896;loglin_saturated;;
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;325;444;769;637;961;zelterman;0.0;1000.0
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;626;1072;1698;1476;2008;chao;0.0;1000.0
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;626;631;1257;1109;1441;loglin_nonsaturated;;
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;626;1902;2528;1808;3693;loglin_saturated;;
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;626;1080;1706;1467;2038;zelterman;0.0;1000.0
2019/2020;Мужчины, 50‒79;Мужчины;50‒79;455;783;1238;1054;1515;chao;0.0;1000.0
2019/2020;Мужчины, 50‒79;Мужчины;50‒79;455;545;1000;873;1159;loglin_nonsaturated;;
