season;model;parameter;coef;SE;p_value;signif
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];Intercept;7.55;0.242;0.0;***
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];П[Женщины];-1.985;0.115;0.0;***
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];В[18‒34];-0.682;0.088;0.0;***
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];В[50‒79];-0.146;0.075;0.052;.
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];П[Женщины]:В[18‒34];0.03;0.195;0.878;
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];П[Женщины]:В[50‒79];0.429;0.161;0.008;**
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];КС;-2.143;0.235;0.0;***
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];НП;-2.967;0.23;0.0;***
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];ПО;-2.498;0.239;0.0;***
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];ПО:В[18‒34];0.063;0.129;0.629;
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];ПО:В[50‒79];-0.473;0.119;0.0;***
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];КС:НП;1.28;0.207;0.0;***
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];КС:ПО;1.103;0.212;0.0;***
2019/2020;main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];НП:ПО;1.045;0.179;0.0;***
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];Intercept;6.447;0.116;0.0;***
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];П[Женщины];-1.985;0.115;0.0;***
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];В[18‒34];-0.682;0.088;0.0;***
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];В[50‒79];-0.146;0.075;0.052;.
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];П[Женщины]:В[18‒34];0.03;0.195;0.878;
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];П[Женщины]:В[50‒79];0.429;0.161;0.008;**
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];КС;-1.039;0.101;0.0;***
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];НП;-1.96;0.125;0.0;***
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];ПО;-1.394;0.111;0.0;***
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];ПО:В[18‒34];0.063;0.129;0.629;
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];ПО:В[50‒79];-0.473;0.119;0.0;***
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];КС:НП;0.47;0.137;0.001;***
2019/2020;main + [КС:НП][НП:ПО][ПО:В][П:В];НП:ПО;0.411;0.141;0.003;**
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];Intercept;7.685;0.257;0.0;***
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];П[Женщины];-1.683;0.096;0.0;***
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];В[18‒34];-0.608;0.097;0.0;***
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];В[50‒79];-0.431;0.092;0.0;***
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];КС;-2.54;0.257;0.0;***
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];КС:В[18‒34];-0.232;0.141;0.1;.
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];КС:В[50‒79];0.385;0.122;0.002;**
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];НП;-3.153;0.245;0.0;***
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];ПО;-2.666;0.249;0.0;***
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];ПО:П[Женщины];-0.414;0.163;0.011;*
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];КС:НП;1.521;0.218;0.0;***
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];КС:ПО;1.197;0.224;0.0;***
2020/2021;main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];НП:ПО;1.143;0.193;0.0;***
2020/2021;main + [КС:НП][НП:ПО][КС:В][ПО:П];Intercept;6.488;0.127;0.0;***
2020/2021;main + [КС:НП][НП:ПО][КС:В][ПО:П];П[Женщины];-1.683;0.096;0.0;***
2020/2021;main + [КС:НП][НП:ПО][КС:В][ПО:П];В[18‒34];-0.608;0.097;0.0;***
2020/2021;main + [КС:НП][НП:ПО][КС:В][ПО:П];В[50‒79];-0.431;0.092;0.0;***
2020/2021;main + [КС:НП][НП:ПО][КС:В][ПО:П];КС;-1.342;0.126;0.0;***
2020/2021;main + [КС:НП][НП:ПО][КС:В][ПО:П];КС:В[18‒34];-0.232;0.141;0.1;.
2020/2021;main + [КС:НП][НП:ПО][КС:В][ПО:П];КС:В[50‒79];0.385;0.122;0.002;**
2020/2021;main + [КС:НП][НП:ПО][КС:В][ПО:П];НП;-2.061;0.135;0.0;***
2020/2021;main + [КС:НП][НП:ПО][КС:В][ПО:П];ПО;-1.468;0.109;0.0;***
2020/2021;main + [КС:НП][НП:ПО][КС:В][ПО:П];ПО:П[Женщины];-0.414;0.163;0.011;*
2020/2021;main + [КС:НП][НП:ПО][КС:В][ПО:П];КС:НП;0.657;0.148;0.0;***
2020/2021;main + [КС:НП][НП:ПО][КС:В][ПО:П];НП:ПО;0.448;0.152;0.003;**
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];Intercept;7.343;0.236;0.0;***
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];П[Женщины];-1.728;0.114;0.0;***
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];В[18‒34];-0.951;0.113;0.0;***
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];В[50‒79];-0.089;0.089;0.32;
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];КС;-2.064;0.227;0.0;***
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];НП;-2.94;0.232;0.0;***
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];НП:П[Женщины];0.397;0.157;0.011;*
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];НП:В[18‒34];0.165;0.146;0.258;
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];НП:В[50‒79];-0.278;0.13;0.033;*
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];ПО;-2.102;0.234;0.0;***
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];ПО:П[Женщины];-0.738;0.164;0.0;***
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];ПО:В[18‒34];0.192;0.137;0.161;
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];ПО:В[50‒79];-0.357;0.119;0.003;**
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];КС:НП;1.286;0.193;0.0;***
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];КС:ПО;0.93;0.205;0.0;***
2021/2022;main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];НП:ПО;1.073;0.179;0.0;***
2021/2022;main + [КС:НП][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];Intercept;6.414;0.117;0.0;***
2021/2022;main + [КС:НП][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];П[Женщины];-1.728;0.114;0.0;***
2021/2022;main + [КС:НП][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];В[18‒34];-0.951;0.113;0.0;***
2021/2022;main + [КС:НП][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];В[50‒79];-0.089;0.089;0.32;
2021/2022;main + [КС:НП][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];КС;-1.134;0.098;0.0;***
2021/2022;main + [КС:НП][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];НП;-2.116;0.143;0.0;***
