model;bic;aic;deviance;df_resid;n_params;n_cells;dev_df_ratio;obs;unobs;est;converged;season;method;ci_lower;ci_upper;coverage_%;boot_success_share;n_models_considered
main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];-69.8;260.5;34.8;28.0;14.0;42.0;1.2;1634;5249;6883;1.0;2019/2020;loglin_saturated;4910;9946;23.7;1.0;827.0
main + [КС:НП][НП:ПО][ПО:В][П:В];-46.1;286.0;62.3;29.0;13.0;42.0;2.1;1634;1741;3375;1.0;2019/2020;loglin_nonsaturated;3031;3846;48.4;1.0;827.0
main + [КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];-59.4;267.5;49.0;29.0;13.0;42.0;1.7;1417;5663;7080;1.0;2020/2021;loglin_saturated;4880;11093;20.0;1.0;249.0
main + [КС:НП][НП:ПО][КС:В][ПО:П];-34.0;294.7;78.2;30.0;12.0;42.0;2.6;1417;1710;3127;1.0;2020/2021;loglin_nonsaturated;2779;3600;45.3;1.0;249.0
main + [КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];-68.9;254.6;28.3;26.0;16.0;42.0;1.1;1572;4189;5761;1.0;2021/2022;loglin_saturated;4283;8340;27.3;1.0;442.0
main + [КС:НП][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];-51.8;273.4;49.1;27.0;15.0;42.0;1.8;1572;1653;3225;1.0;2021/2022;loglin_nonsaturated;2875;3652;48.7;1.0;442.0
main + [КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];-78.2;245.2;26.4;28.0;14.0;42.0;0.9;1475;2687;4162;1.0;2022/2023;loglin_saturated;3073;5987;35.4;1.0;1024.0
main + [КС:НП][ПО:В][П:В];-78.2;248.7;33.9;30.0;12.0;42.0;1.1;1475;1375;2850;1.0;2022/2023;loglin_nonsaturated;2603;3132;51.8;1.0;1024.0
main + [КС:НП][КС:ПО][НП:ПО][КС:П][КС:В][ПО:В];-83.8;230.4;17.1;27.0;15.0;42.0;0.6;1221;3385;4606;1.0;2023/2024;loglin_saturated;3189;7077;26.5;1.0;1024.0
main + [КС:НП][КС:ПО][КС:П][КС:В][ПО:В];-77.2;238.7;27.4;28.0;14.0;42.0;1.0;1221;1654;2875;1.0;2023/2024;loglin_nonsaturated;2403;3594;42.5;1.0;1024.0
main + [КС:НП][КС:ПО][НП:ПО][КС:П][НП:В][ПО:В];-61.9;252.4;39.1;27.0;15.0;42.0;1.4;1278;4066;5344;1.0;2024/2025;loglin_saturated;3584;8734;23.9;1.0;920.0
main + [КС:НП][КС:ПО][КС:П][НП:В][ПО:В];-60.2;255.8;44.4;28.0;14.0;42.0;1.6;1278;2407;3685;1.0;2024/2025;loglin_nonsaturated;2954;4974;34.7;1.0;920.0
main + [КС:НП][КС:ПО][НП:ПО][НП:В][ПО:П][ПО:В];-70.2;233.3;30.7;27.0;15.0;42.0;1.1;1124;4892;6016;1.0;2025/2026;loglin_saturated;3788;10384;18.7;1.0;690.0
main + [КС:НП][НП:В][ПО:П][ПО:В];-59.4;247.5;49.0;29.0;13.0;42.0;1.7;1124;1459;2583;1.0;2025/2026;loglin_nonsaturated;2276;2946;43.5;1.0;690.0
