season;class;rank;модель;BIC;AIC;dev;df;k;dev/df;скрытых;оценка;охват,%
2019/2020;насыщенные;1.0;[КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];-69.8;260.5;34.8;28.0;14.0;1.2;5249.0;6883.0;23.7
2019/2020;насыщенные;2.0;[КС:НП][КС:ПО][НП:ПО][КС:В][ПО:В][П:В];-69.3;257.5;27.8;26.0;16.0;1.1;5249.0;6883.0;23.7
2019/2020;насыщенные;3.0;[КС:НП][КС:ПО][НП:ПО][ПО:В];-69.2;264.6;43.0;30.0;12.0;1.4;5249.0;6883.0;23.7
2019/2020;ненасыщенные;1.0;[КС:НП][НП:ПО][ПО:В][П:В];-46.1;286.0;62.3;29.0;13.0;2.1;1741.0;3375.0;48.4
2019/2020;ненасыщенные;2.0;[КС:НП][НП:ПО][ПО:В];-45.4;290.1;70.4;31.0;11.0;2.3;1741.0;3375.0;48.4
2019/2020;ненасыщенные;3.0;[КС:НП][НП:ПО][КС:В][ПО:В][П:В];-44.7;283.9;56.2;27.0;15.0;2.1;1713.0;3347.0;48.8
2020/2021;насыщенные;1.0;[КС:НП][КС:ПО][НП:ПО][КС:В][ПО:П];-59.4;267.5;49.0;29.0;13.0;1.7;5663.0;7080.0;20.0
2020/2021;насыщенные;2.0;[КС:НП][КС:ПО][НП:ПО][КС:П][КС:В][НП:П];-58.1;267.1;46.5;28.0;14.0;1.7;5663.0;7080.0;20.0
2020/2021;насыщенные;3.0;[КС:НП][КС:ПО][НП:ПО][КС:В][НП:П][ПО:П];-57.7;267.5;46.9;28.0;14.0;1.7;5663.0;7080.0;20.0
2020/2021;ненасыщенные;1.0;[КС:НП][НП:ПО][КС:В][ПО:П];-34.0;294.7;78.2;30.0;12.0;2.6;1710.0;3127.0;45.3
2020/2021;ненасыщенные;2.0;[КС:НП][НП:ПО][КС:П][КС:В][НП:П];-32.7;294.3;75.7;29.0;13.0;2.6;1710.0;3127.0;45.3
2020/2021;ненасыщенные;3.0;[КС:НП][НП:ПО][КС:В][НП:П][ПО:П];-32.3;294.6;76.1;29.0;13.0;2.6;1710.0;3127.0;45.3
2021/2022;насыщенные;1.0;[КС:НП][КС:ПО][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];-68.9;254.6;28.3;26.0;16.0;1.1;4189.0;5761.0;27.3
2021/2022;насыщенные;2.0;[КС:НП][КС:ПО][НП:ПО][НП:П][ПО:П][ПО:В];-67.7;259.3;37.0;28.0;14.0;1.3;4189.0;5761.0;27.3
2021/2022;насыщенные;3.0;[КС:НП][КС:ПО][НП:ПО][НП:В][ПО:П][ПО:В];-66.3;258.9;34.6;27.0;15.0;1.3;4189.0;5761.0;27.3
2021/2022;ненасыщенные;1.0;[КС:НП][НП:ПО][НП:П][НП:В][ПО:П][ПО:В];-51.8;273.4;49.1;27.0;15.0;1.8;1653.0;3225.0;48.7
2021/2022;ненасыщенные;2.0;[КС:НП][НП:ПО][НП:П][ПО:П][ПО:В];-50.6;278.1;57.8;29.0;13.0;2.0;1653.0;3225.0;48.7
2021/2022;ненасыщенные;3.0;[КС:НП][НП:ПО][НП:В][ПО:П][ПО:В];-49.3;277.7;55.4;28.0;14.0;2.0;1653.0;3225.0;48.7
2022/2023;насыщенные;1.0;[КС:НП][КС:ПО][НП:ПО][ПО:В][П:В];-78.2;245.2;26.4;28.0;14.0;0.9;2687.0;4162.0;35.4
2022/2023;насыщенные;2.0;[КС:НП][КС:ПО][НП:ПО][КС:П][ПО:В][П:В];-77.2;244.5;23.8;27.0;15.0;0.9;2687.0;4162.0;35.4
2022/2023;насыщенные;3.0;[КС:НП][КС:ПО][НП:ПО][ПО:П][ПО:В][П:В];-76.3;245.4;24.6;27.0;15.0;0.9;2687.0;4162.0;35.4
2022/2023;ненасыщенные;1.0;[КС:НП][ПО:В][П:В];-78.2;248.7;33.9;30.0;12.0;1.1;1375.0;2850.0;51.8
2022/2023;ненасыщенные;2.0;[КС:НП][КС:П][ПО:В][П:В];-77.1;248.0;31.3;29.0;13.0;1.1;1373.0;2848.0;51.8
2022/2023;ненасыщенные;3.0;[КС:НП][ПО:П][ПО:В][П:В];-76.3;248.9;32.1;29.0;13.0;1.1;1375.0;2850.0;51.8
2023/2024;насыщенные;1.0;[КС:НП][КС:ПО][НП:ПО][КС:П][КС:В][ПО:В];-83.8;230.4;17.1;27.0;15.0;0.6;3385.0;4606.0;26.5
2023/2024;насыщенные;2.0;[КС:НП][КС:ПО][НП:ПО][КС:П][КС:В][НП:П][ПО:В];-81.8;230.6;15.3;26.0;16.0;0.6;3385.0;4606.0;26.5
2023/2024;насыщенные;3.0;[КС:НП][КС:ПО][НП:ПО][КС:П][КС:В][ПО:П][ПО:В];-81.7;230.8;15.5;26.0;16.0;0.6;3385.0;4606.0;26.5
2023/2024;ненасыщенные;1.0;[КС:НП][КС:ПО][КС:П][КС:В][ПО:В];-77.2;238.7;27.4;28.0;14.0;1.0;1654.0;2875.0;42.5
2023/2024;ненасыщенные;2.0;[КС:НП][КС:ПО][КС:П][НП:В][ПО:В];-76.0;240.0;28.7;28.0;14.0;1.0;1755.0;2976.0;41.0
2023/2024;ненасыщенные;3.0;[КС:НП][КС:ПО][КС:П][КС:В][НП:П][ПО:В];-75.2;238.9;25.7;27.0;15.0;1.0;1654.0;2875.0;42.5
2024/2025;насыщенные;1.0;[КС:НП][КС:ПО][НП:ПО][КС:П][НП:В][ПО:В];-61.9;252.4;39.1;27.0;15.0;1.4;4066.0;5344.0;23.9
2024/2025;насыщенные;2.0;[КС:НП][КС:ПО][НП:ПО][НП:В][ПО:В][П:В];-61.7;250.8;35.5;26.0;16.0;1.4;4066.0;5344.0;23.9
2024/2025;насыщенные;3.0;[КС:НП][КС:ПО][НП:ПО][НП:В][ПО:В];-61.6;254.4;43.0;28.0;14.0;1.5;4066.0;5344.0;23.9
2024/2025;ненасыщенные;1.0;[КС:НП][КС:ПО][КС:П][НП:В][ПО:В];-60.2;255.8;44.4;28.0;14.0;1.6;2407.0;3685.0;34.7
2024/2025;ненасыщенные;2.0;[КС:НП][КС:ПО][НП:В][ПО:В][П:В];-60.1;254.2;40.8;27.0;15.0;1.5;2407.0;3685.0;34.7
2024/2025;ненасыщенные;3.0;[КС:НП][КС:ПО][НП:В][ПО:В];-60.0;257.7;48.4;29.0;13.0;1.7;2407.0;3685.0;34.7
2025/2026;насыщенные;1.0;[КС:НП][КС:ПО][НП:ПО][НП:В][ПО:П][ПО:В];-70.2;233.3;30.7;27.0;15.0;1.1;4892.0;6016.0;18.7
