season;strata;n;f1;f2;f3;f1_share;f1_f2;КС_n;КС_share;НП_n;НП_share;ПО_n;ПО_share;КС_НП;КС_НП_ovl;КС_ПО;КС_ПО_ovl;НП_ПО;НП_ПО_ovl
2019/2020;Женщины, 18‒34;46;37;6;3;0.8;6.17;25;0.54;13;0.28;20;0.43;3.0;0.23;8.0;0.4;4.0;0.31
2019/2020;Женщины, 35‒49;86;65;18;3;0.76;3.61;49;0.57;29;0.34;32;0.37;10.0;0.34;9.0;0.28;8.0;0.28
2019/2020;Женщины, 50‒79;96;72;19;5;0.75;3.79;62;0.65;32;0.33;31;0.32;15.0;0.47;9.0;0.29;10.0;0.32
2019/2020;Мужчины, 18‒34;325;244;67;14;0.75;3.64;181;0.56;97;0.3;142;0.44;38.0;0.39;48.0;0.34;23.0;0.24
2019/2020;Мужчины, 35‒49;626;490;112;24;0.78;4.38;326;0.52;192;0.31;268;0.43;53.0;0.28;83.0;0.31;48.0;0.25
2019/2020;Мужчины, 50‒79;455;354;80;21;0.78;4.43;290;0.64;146;0.32;141;0.31;65.0;0.45;46.0;0.33;32.0;0.23
2020/2021;Женщины, 18‒34;39;27;9;3;0.69;3.0;18;0.46;17;0.44;19;0.49;8.0;0.47;6.0;0.33;4.0;0.24
2020/2021;Женщины, 35‒49;81;62;17;2;0.77;3.65;47;0.58;26;0.32;29;0.36;9.0;0.35;8.0;0.28;6.0;0.23
2020/2021;Женщины, 50‒79;74;52;21;1;0.7;2.48;49;0.66;31;0.42;17;0.23;15.0;0.48;7.0;0.41;2.0;0.12
2020/2021;Мужчины, 18‒34;262;212;38;12;0.81;5.58;118;0.45;80;0.31;126;0.48;21.0;0.26;35.0;0.3;18.0;0.23
2020/2021;Мужчины, 35‒49;537;409;109;19;0.76;3.75;268;0.5;172;0.32;244;0.45;58.0;0.34;64.0;0.26;44.0;0.26
2020/2021;Мужчины, 50‒79;424;339;57;28;0.8;5.95;252;0.59;126;0.3;159;0.38;49.0;0.39;51.0;0.32;41.0;0.33
2021/2022;Женщины, 18‒34;38;28;7;3;0.74;4.0;20;0.53;22;0.58;9;0.24;8.0;0.4;5.0;0.56;3.0;0.33
2021/2022;Женщины, 35‒49;88;68;16;4;0.77;4.25;50;0.57;34;0.39;28;0.32;16.0;0.47;5.0;0.18;7.0;0.25
2021/2022;Женщины, 50‒79;83;67;14;2;0.81;4.79;49;0.59;28;0.34;24;0.29;10.0;0.36;5.0;0.21;5.0;0.21
2021/2022;Мужчины, 18‒34;286;207;56;23;0.72;3.7;145;0.51;86;0.3;157;0.55;39.0;0.45;49.0;0.34;37.0;0.43
2021/2022;Мужчины, 35‒49;636;473;131;32;0.74;3.61;329;0.52;188;0.3;314;0.49;70.0;0.37;95.0;0.3;62.0;0.33
2021/2022;Мужчины, 50‒79;441;343;84;14;0.78;4.08;258;0.59;111;0.25;184;0.42;37.0;0.33;58.0;0.32;31.0;0.28
2022/2023;Женщины, 18‒34;36;29;5;2;0.81;5.8;21;0.58;10;0.28;14;0.39;5.0;0.5;4.0;0.29;2.0;0.2
2022/2023;Женщины, 35‒49;76;56;17;3;0.74;3.29;46;0.61;20;0.26;33;0.43;10.0;0.5;12.0;0.36;4.0;0.2
2022/2023;Женщины, 50‒79;96;76;16;4;0.79;4.75;63;0.66;22;0.23;35;0.36;14.0;0.64;9.0;0.26;5.0;0.23
2022/2023;Мужчины, 18‒34;278;210;56;12;0.76;3.75;143;0.51;77;0.28;138;0.5;33.0;0.43;36.0;0.26;23.0;0.3
2022/2023;Мужчины, 35‒49;557;415;126;16;0.75;3.29;300;0.54;134;0.24;281;0.5;47.0;0.35;92.0;0.33;35.0;0.26
2022/2023;Мужчины, 50‒79;432;341;80;11;0.79;4.26;264;0.61;109;0.25;161;0.37;41.0;0.38;48.0;0.3;24.0;0.22
2023/2024;Женщины, 18‒34;28;19;8;1;0.68;2.38;18;0.64;11;0.39;9;0.32;5.0;0.45;4.0;0.44;2.0;0.22
2023/2024;Женщины, 35‒49;68;49;16;3;0.72;3.06;43;0.63;24;0.35;23;0.34;12.0;0.5;9.0;0.39;4.0;0.17
2023/2024;Женщины, 50‒79;60;47;9;4;0.78;5.22;43;0.72;19;0.32;15;0.25;10.0;0.53;7.0;0.47;4.0;0.27
2023/2024;Мужчины, 18‒34;203;161;34;8;0.79;4.74;80;0.39;81;0.4;92;0.45;20.0;0.25;23.0;0.29;15.0;0.19
2023/2024;Мужчины, 35‒49;470;361;91;18;0.77;3.97;218;0.46;160;0.34;219;0.47;47.0;0.29;58.0;0.27;40.0;0.25
2023/2024;Мужчины, 50‒79;392;312;71;9;0.8;4.39;226;0.58;128;0.33;127;0.32;35.0;0.27;40.0;0.31;23.0;0.18
2024/2025;Женщины, 18‒34;24;19;4;1;0.79;4.75;14;0.58;7;0.29;9;0.38;3.0;0.43;2.0;0.22;2.0;0.29
2024/2025;Женщины, 35‒49;70;61;5;4;0.87;12.2;38;0.54;15;0.21;30;0.43;6.0;0.4;6.0;0.2;5.0;0.33
2024/2025;Женщины, 50‒79;88;69;17;2;0.78;4.06;53;0.6;24;0.27;32;0.36;11.0;0.46;8.0;0.25;4.0;0.17
2024/2025;Мужчины, 18‒34;186;138;44;4;0.74;3.14;85;0.46;62;0.33;91;0.49;20.0;0.32;24.0;0.28;12.0;0.19
2024/2025;Мужчины, 35‒49;498;390;93;15;0.78;4.19;219;0.44;159;0.32;243;0.49;44.0;0.28;64.0;0.29;30.0;0.19
2024/2025;Мужчины, 50‒79;412;338;62;12;0.82;5.45;241;0.58;111;0.27;146;0.35;43.0;0.39;34.0;0.23;21.0;0.19
2025/2026;Женщины, 18‒34;28;23;4;1;0.82;5.75;17;0.61;6;0.21;11;0.39;4.0;0.67;1.0;0.09;2.0;0.33
2025/2026;Женщины, 35‒49;53;40;9;4;0.75;4.44;25;0.47;24;0.45;21;0.4;10.0;0.42;5.0;0.24;6.0;0.29
2025/2026;Женщины, 50‒79;69;58;10;1;0.84;5.8;49;0.71;15;0.22;17;0.25;8.0;0.53;4.0;0.24;1.0;0.07
2025/2026;Мужчины, 18‒34;139;109;23;7;0.78;4.74;69;0.5;36;0.26;71;0.51;11.0;0.31;21.0;0.3;12.0;0.33
2025/2026;Мужчины, 35‒49;446;346;80;20;0.78;4.33;207;0.46;120;0.27;239;0.54;43.0;0.36;61.0;0.29;36.0;0.3
2025/2026;Мужчины, 50‒79;389;325;57;7;0.84;5.7;224;0.58;99;0.25;137;0.35;34.0;0.34;30.0;0.22;14.0;0.14
