season;strata;sex;age;КС;НП;ПО;count
2019/2020;Женщины, 18‒34;Женщины;18‒34;0;0;0;0
2019/2020;Женщины, 18‒34;Женщины;18‒34;0;0;1;11
2019/2020;Женщины, 18‒34;Женщины;18‒34;0;1;0;9
2019/2020;Женщины, 18‒34;Женщины;18‒34;0;1;1;1
2019/2020;Женщины, 18‒34;Женщины;18‒34;1;0;0;17
2019/2020;Женщины, 18‒34;Женщины;18‒34;1;0;1;5
2019/2020;Женщины, 18‒34;Женщины;18‒34;1;1;0;0
2019/2020;Женщины, 18‒34;Женщины;18‒34;1;1;1;3
2019/2020;Женщины, 35‒49;Женщины;35‒49;0;0;0;0
2019/2020;Женщины, 35‒49;Женщины;35‒49;0;0;1;18
2019/2020;Женщины, 35‒49;Женщины;35‒49;0;1;0;14
2019/2020;Женщины, 35‒49;Женщины;35‒49;0;1;1;5
2019/2020;Женщины, 35‒49;Женщины;35‒49;1;0;0;33
2019/2020;Женщины, 35‒49;Женщины;35‒49;1;0;1;6
2019/2020;Женщины, 35‒49;Женщины;35‒49;1;1;0;7
2019/2020;Женщины, 35‒49;Женщины;35‒49;1;1;1;3
2019/2020;Женщины, 50‒79;Женщины;50‒79;0;0;0;0
2019/2020;Женщины, 50‒79;Женщины;50‒79;0;0;1;17
2019/2020;Женщины, 50‒79;Женщины;50‒79;0;1;0;12
2019/2020;Женщины, 50‒79;Женщины;50‒79;0;1;1;5
2019/2020;Женщины, 50‒79;Женщины;50‒79;1;0;0;43
2019/2020;Женщины, 50‒79;Женщины;50‒79;1;0;1;4
2019/2020;Женщины, 50‒79;Женщины;50‒79;1;1;0;10
2019/2020;Женщины, 50‒79;Женщины;50‒79;1;1;1;5
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;0;0;0;0
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;0;0;1;85
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;0;1;0;50
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;0;1;1;9
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;1;0;0;109
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;1;0;1;34
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;1;1;0;24
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;1;1;1;14
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;0;0;0;0
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;0;0;1;161
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;0;1;0;115
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;0;1;1;24
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;1;0;0;214
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;1;0;1;59
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;1;1;0;29
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;1;1;1;24
2019/2020;Мужчины, 50‒79;Мужчины;50‒79;0;0;0;0
2019/2020;Мужчины, 50‒79;Мужчины;50‒79;0;0;1;84
2019/2020;Мужчины, 50‒79;Мужчины;50‒79;0;1;0;70
2019/2020;Мужчины, 50‒79;Мужчины;50‒79;0;1;1;11
2019/2020;Мужчины, 50‒79;Мужчины;50‒79;1;0;0;200
2019/2020;Мужчины, 50‒79;Мужчины;50‒79;1;0;1;25
2019/2020;Мужчины, 50‒79;Мужчины;50‒79;1;1;0;44
2019/2020;Мужчины, 50‒79;Мужчины;50‒79;1;1;1;21
2020/2021;Женщины, 18‒34;Женщины;18‒34;0;0;0;0
2020/2021;Женщины, 18‒34;Женщины;18‒34;0;0;1;12
2020/2021;Женщины, 18‒34;Женщины;18‒34;0;1;0;8
2020/2021;Женщины, 18‒34;Женщины;18‒34;0;1;1;1
2020/2021;Женщины, 18‒34;Женщины;18‒34;1;0;0;7
2020/2021;Женщины, 18‒34;Женщины;18‒34;1;0;1;3
2020/2021;Женщины, 18‒34;Женщины;18‒34;1;1;0;5
2020/2021;Женщины, 18‒34;Женщины;18‒34;1;1;1;3
2020/2021;Женщины, 35‒49;Женщины;35‒49;0;0;0;0
2020/2021;Женщины, 35‒49;Женщины;35‒49;0;0;1;17
2020/2021;Женщины, 35‒49;Женщины;35‒49;0;1;0;13
2020/2021;Женщины, 35‒49;Женщины;35‒49;0;1;1;4
2020/2021;Женщины, 35‒49;Женщины;35‒49;1;0;0;32
2020/2021;Женщины, 35‒49;Женщины;35‒49;1;0;1;6
2020/2021;Женщины, 35‒49;Женщины;35‒49;1;1;0;7
2020/2021;Женщины, 35‒49;Женщины;35‒49;1;1;1;2
2020/2021;Женщины, 50‒79;Женщины;50‒79;0;0;0;0
2020/2021;Женщины, 50‒79;Женщины;50‒79;0;0;1;9
2020/2021;Женщины, 50‒79;Женщины;50‒79;0;1;0;15
2020/2021;Женщины, 50‒79;Женщины;50‒79;0;1;1;1
2020/2021;Женщины, 50‒79;Женщины;50‒79;1;0;0;28
2020/2021;Женщины, 50‒79;Женщины;50‒79;1;0;1;6
2020/2021;Женщины, 50‒79;Женщины;50‒79;1;1;0;14
2020/2021;Женщины, 50‒79;Женщины;50‒79;1;1;1;1
2020/2021;Мужчины, 18‒34;Мужчины;18‒34;0;0;0;0
2020/2021;Мужчины, 18‒34;Мужчины;18‒34;0;0;1;85
2020/2021;Мужчины, 18‒34;Мужчины;18‒34;0;1;0;53
2020/2021;Мужчины, 18‒34;Мужчины;18‒34;0;1;1;6
2020/2021;Мужчины, 18‒34;Мужчины;18‒34;1;0;0;74
2020/2021;Мужчины, 18‒34;Мужчины;18‒34;1;0;1;23
2020/2021;Мужчины, 18‒34;Мужчины;18‒34;1;1;0;9
2020/2021;Мужчины, 18‒34;Мужчины;18‒34;1;1;1;12
2020/2021;Мужчины, 35‒49;Мужчины;35‒49;0;0;0;0
2020/2021;Мужчины, 35‒49;Мужчины;35‒49;0;0;1;155
2020/2021;Мужчины, 35‒49;Мужчины;35‒49;0;1;0;89
2020/2021;Мужчины, 35‒49;Мужчины;35‒49;0;1;1;25
2020/2021;Мужчины, 35‒49;Мужчины;35‒49;1;0;0;165
2020/2021;Мужчины, 35‒49;Мужчины;35‒49;1;0;1;45
2020/2021;Мужчины, 35‒49;Мужчины;35‒49;1;1;0;39
2020/2021;Мужчины, 35‒49;Мужчины;35‒49;1;1;1;19
