year_season;strata;sex;age;obs;unobs;est;ci_lower;ci_upper;coverage_%;method;method_ru;replaced_by;corridor_invalid;chao_est;nonsat_est;sat_est
2019/2020;total;total;total;1634;2667;4301;3979;4871;38.0;chao;Чао;;0.0;4301;3375;6883
2019/2020;Женщины;Женщины;total;228;368;596;477;954;38.3;chao;Чао;;0.0;596;475;972
2019/2020;Женщины, 18‒34;Женщины;18‒34;46;114;160;95;487;28.7;chao;Чао;;0.0;160;91;182
2019/2020;Женщины, 35‒49;Женщины;35‒49;86;117;203;144;322;42.3;chao;Чао;;0.0;203;173;347
2019/2020;Женщины, 50‒79;Женщины;50‒79;96;136;232;174;363;41.3;chao;Чао;;0.0;232;211;443
2019/2020;Мужчины;Мужчины;total;1406;2299;3705;3400;4146;37.9;chao;Чао;;0.0;3705;2901;5912
2019/2020;Мужчины, 18‒34;Мужчины;18‒34;325;444;769;647;950;42.2;chao;Чао;;0.0;769;644;1286
2019/2020;Мужчины, 35‒49;Мужчины;35‒49;626;1072;1698;1476;2008;36.9;chao;Чао;;0.0;1698;1257;2528
2019/2020;Мужчины, 50‒79;Мужчины;50‒79;455;783;1238;1054;1515;36.7;chao;Чао;;0.0;1238;1000;2098
2020/2021;total;total;total;1417;2585;4002;3627;4559;35.4;chao;Чао;;0.0;4002;3127;7080
2020/2021;Женщины;Женщины;total;194;268;462;379;568;42.0;loglin_nonsaturated;Лог-линейная ненасыщенная;nonsat;0.0;412;462;1082
2020/2021;Женщины, 18‒34;Женщины;18‒34;39;67;106;83;138;37.0;loglin_nonsaturated;Лог-линейная ненасыщенная;nonsat;0.0;80;106;259
2020/2021;Женщины, 35‒49;Женщины;35‒49;81;122;203;166;257;39.9;loglin_nonsaturated;Лог-линейная ненасыщенная;nonsat;0.0;194;203;485
2020/2021;Женщины, 50‒79;Женщины;50‒79;74;79;153;116;187;48.2;loglin_nonsaturated;Лог-линейная ненасыщенная;nonsat;0.0;138;153;337
2020/2021;Мужчины;Мужчины;total;1223;2367;3590;3226;4155;34.1;chao;Чао;;0.0;3590;2665;5999
2020/2021;Мужчины, 18‒34;Мужчины;18‒34;262;591;853;662;1166;30.7;chao;Чао;;0.0;853;620;1447
2020/2021;Мужчины, 35‒49;Мужчины;35‒49;537;767;1304;1142;1537;41.2;chao;Чао;;0.0;1304;1194;2713
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;424;1008;1432;1165;1848;29.6;chao;Чао;;0.0;1432;851;1839
2021/2022;total;total;total;1572;2298;3870;3595;4342;40.6;chao;Чао;;0.0;3870;3225;5761
2021/2022;Женщины;Женщины;total;209;361;570;463;838;36.7;chao;Чао;;0.0;570;458;841
2021/2022;Женщины, 18‒34;Женщины;18‒34;38;56;94;60;220;40.4;chao;Чао;;0.0;94;80;144
2021/2022;Женщины, 35‒49;Женщины;35‒49;88;145;233;169;384;37.8;chao;Чао;;0.0;233;196;363
2021/2022;Женщины, 50‒79;Женщины;50‒79;83;160;243;176;435;34.1;chao;Чао;;0.0;243;182;334
2021/2022;Мужчины;Мужчины;total;1363;1937;3300;3022;3686;41.3;chao;Чао;;0.0;3300;2767;4920
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;286;383;669;557;862;42.8;chao;Чао;;0.0;669;522;883
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;636;854;1490;1311;1726;42.7;chao;Чао;;0.0;1490;1246;2182
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;441;700;1141;965;1396;38.6;chao;Чао;;0.0;1141;999;1855
2022/2023;total;total;total;1475;2161;3636;3367;4153;40.6;chao;Чао;;0.0;3636;2850;4162
2022/2023;Женщины;Женщины;total;208;357;565;454;939;36.8;chao;Чао;;0.0;565;406;596
2022/2023;Женщины, 18‒34;Женщины;18‒34;36;61;97;60;153;37.0;loglin_saturated;Лог-линейная насыщенная;sat;0.0;120;67;97
2022/2023;Женщины, 35‒49;Женщины;35‒49;76;92;168;126;274;45.2;chao;Чао;;0.0;168;141;203
2022/2023;Женщины, 50‒79;Женщины;50‒79;96;181;277;195;470;34.7;chao;Чао;;0.0;277;198;296
2022/2023;Мужчины;Мужчины;total;1267;1804;3071;2827;3439;41.3;chao;Чао;;0.0;3071;2444;3567
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;278;394;672;555;841;41.4;chao;Чао;;0.0;672;521;752
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;557;683;1240;1097;1437;44.9;chao;Чао;;0.0;1240;1032;1485
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;432;727;1159;975;1418;37.3;chao;Чао;;0.0;1159;891;1330
2023/2024;total;total;total;1221;2003;3224;2967;3683;37.9;chao;Чао;;0.0;3224;2875;4606
2023/2024;Женщины;Женщины;total;156;220;376;294;607;41.5;chao;Чао;;0.0;376;301;453
2023/2024;Женщины, 18‒34;Женщины;18‒34;28;32;60;42;84;46.6;loglin_nonsaturated;Лог-линейная ненасыщенная;nonsat;0.0;51;60;94
2023/2024;Женщины, 35‒49;Женщины;35‒49;68;75;143;108;236;47.5;chao;Чао;;0.0;143;129;192
2023/2024;Женщины, 50‒79;Женщины;50‒79;60;107;167;111;256;35.9;loglin_saturated;Лог-линейная насыщенная;sat;0.0;183;112;167
2023/2024;Мужчины;Мужчины;total;1065;1783;2848;2598;3235;37.4;chao;Чао;;0.0;2848;2574;4153
2023/2024;Мужчины, 18‒34;Мужчины;18‒34;203;381;584;454;805;34.7;chao;Чао;;0.0;584;536;885
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;470;716;1186;1013;1408;39.6;chao;Чао;;0.0;1186;1100;1760
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;392;686;1078;919;1353;36.4;chao;Чао;;0.0;1078;938;1509
2024/2025;total;total;total;1278;2513;3791;3405;4844;33.7;chao;Чао;;0.0;3791;3685;5344
2024/2025;Женщины;Женщины;total;182;499;681;442;1152;26.7;loglin_saturated;Лог-линейная насыщенная;sat;0.0;739;477;681
2024/2025;Женщины, 18‒34;Женщины;18‒34;24;45;69;38;266;34.7;chao;Чао;;0.0;69;63;91
2024/2025;Женщины, 35‒49;Женщины;35‒49;70;189;259;176;445;27.0;loglin_saturated;Лог-линейная насыщенная;sat;0.0;442;181;259
2024/2025;Женщины, 50‒79;Женщины;50‒79;88;145;233;160;307;37.8;loglin_nonsaturated;Лог-линейная ненасыщенная;nonsat;0.0;228;233;330
2024/2025;Мужчины;Мужчины;total;1096;2112;3208;2575;4333;34.2;loglin_nonsaturated;Лог-линейная ненасыщенная;nonsat;0.0;3051;3208;4664
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;186;281;467;359;637;39.8;loglin_nonsaturated;Лог-линейная ненасыщенная;nonsat;0.0;402;467;666
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;498;818;1316;1123;1592;37.8;chao;Чао;;0.0;1316;1294;1853
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;412;1035;1447;1132;2033;28.5;loglin_nonsaturated;Лог-линейная ненасыщенная;nonsat;0.0;1333;1447;2145
2025/2026;total;total;total;1124;2256;3380;3052;4015;33.3;chao;Чао;;0.0;3380;2583;6016
2025/2026;Женщины;Женщины;total;150;323;473;362;867;31.7;chao;Чао;;0.0;473;385;937
2025/2026;Женщины, 18‒34;Женщины;18‒34;28;66;94;51;366;29.7;chao;Чао;;0.0;94;60;134
2025/2026;Женщины, 35‒49;Женщины;35‒49;53;89;142;91;306;37.4;chao;Чао;;0.0;142;133;325
2025/2026;Женщины, 50‒79;Женщины;50‒79;69;168;237;154;479;29.1;chao;Чао;;0.0;237;192;478
2025/2026;Мужчины;Мужчины;total;974;1933;2907;2581;3403;33.5;chao;Чао;;0.0;2907;2198;5079
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;139;258;397;298;603;35.0;chao;Чао;;0.0;397;304;694
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;446;748;1194;1017;1444;37.3;chao;Чао;;0.0;1194;863;1864
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;389;927;1316;1061;1672;29.6;chao;Чао;;0.0;1316;1031;2521
